"time","ch4_emissions","trialnum"
1750,NA,1
1751,NA,1
1752,NA,1
1753,NA,1
1754,NA,1
1755,NA,1
1756,NA,1
1757,NA,1
1758,NA,1
1759,NA,1
1760,NA,1
1761,NA,1
1762,NA,1
1763,NA,1
1764,NA,1
1765,NA,1
1766,NA,1
1767,NA,1
1768,NA,1
1769,NA,1
1770,NA,1
1771,NA,1
1772,NA,1
1773,NA,1
1774,NA,1
1775,NA,1
1776,NA,1
1777,NA,1
1778,NA,1
1779,NA,1
1780,NA,1
1781,NA,1
1782,NA,1
1783,NA,1
1784,NA,1
1785,NA,1
1786,NA,1
1787,NA,1
1788,NA,1
1789,NA,1
1790,NA,1
1791,NA,1
1792,NA,1
1793,NA,1
1794,NA,1
1795,NA,1
1796,NA,1
1797,NA,1
1798,NA,1
1799,NA,1
1800,NA,1
1801,NA,1
1802,NA,1
1803,NA,1
1804,NA,1
1805,NA,1
1806,NA,1
1807,NA,1
1808,NA,1
1809,NA,1
1810,NA,1
1811,NA,1
1812,NA,1
1813,NA,1
1814,NA,1
1815,NA,1
1816,NA,1
1817,NA,1
1818,NA,1
1819,NA,1
1820,NA,1
1821,NA,1
1822,NA,1
1823,NA,1
1824,NA,1
1825,NA,1
1826,NA,1
1827,NA,1
1828,NA,1
1829,NA,1
1830,NA,1
1831,NA,1
1832,NA,1
1833,NA,1
1834,NA,1
1835,NA,1
1836,NA,1
1837,NA,1
1838,NA,1
1839,NA,1
1840,NA,1
1841,NA,1
1842,NA,1
1843,NA,1
1844,NA,1
1845,NA,1
1846,NA,1
1847,NA,1
1848,NA,1
1849,NA,1
1850,NA,1
1851,NA,1
1852,NA,1
1853,NA,1
1854,NA,1
1855,NA,1
1856,NA,1
1857,NA,1
1858,NA,1
1859,NA,1
1860,NA,1
1861,NA,1
1862,NA,1
1863,NA,1
1864,NA,1
1865,NA,1
1866,NA,1
1867,NA,1
1868,NA,1
1869,NA,1
1870,NA,1
1871,NA,1
1872,NA,1
1873,NA,1
1874,NA,1
1875,NA,1
1876,NA,1
1877,NA,1
1878,NA,1
1879,NA,1
1880,NA,1
1881,NA,1
1882,NA,1
1883,NA,1
1884,NA,1
1885,NA,1
1886,NA,1
1887,NA,1
