"time","co2","trialnum"
1750,278.052989189439,1
1751,276.7500601183613,1
1752,276.78091648868605,1
1753,276.80822777189354,1
1754,276.83403156614855,1
1755,276.8589879138445,1
1756,276.8833621961419,1
1757,276.9073046556438,1
1758,276.93089679025076,1
1759,276.95425299174366,1
1760,276.9775131059068,1
1761,277.00074052891307,1
1762,277.0240230353034,1
1763,277.0472004521376,1
1764,277.0700631059839,1
1765,277.09289522231416,1
1766,277.1160422762634,1
1767,277.1395532511023,1
1768,277.1632563382309,1
1769,277.1871261123281,1
1770,277.21136558743484,1
1771,277.2360198086027,1
1772,277.26109384670843,1
1773,277.2865723416874,1
1774,277.3123974224613,1
1775,277.33855761873957,1
1776,277.3650309840812,1
1777,277.3918971039316,1
1778,277.419156700181,1
1779,277.4467478274841,1
1780,277.4747177259829,1
1781,277.5031031652433,1
1782,277.53201374002145,1
1783,277.56142603834746,1
1784,277.59061620170405,1
1785,277.6180972087089,1
1786,277.6440580803982,1
1787,277.67101335743183,1
1788,277.70018708221943,1
1789,277.73116283776966,1
1790,277.76356424759564,1
1791,277.79707062677454,1
1792,277.83155619128644,1
1793,277.86686319797474,1
1794,277.9027450636883,1
1795,277.9391026708369,1
1796,277.97590500140154,1
1797,278.01316036879325,1
1798,278.05081625829365,1
1799,278.0888803653097,1
1800,278.1275640338899,1
1801,278.1670596782672,1
1802,278.2073018147186,1
1803,278.2486680323442,1
1804,278.2908293666811,1
1805,278.33349218520607,1
1806,278.37693065893177,1
1807,278.42103562285195,1
1808,278.4659926892856,1
1809,278.5115436661872,1
1810,278.555527085167,1
1811,278.5960974057281,1
1812,278.6361497953923,1
1813,278.6793797813297,1
1814,278.7261387023838,1
1815,278.77556782116034,1
1816,278.82475777555305,1
1817,278.8696590855528,1
1818,278.912062393548,1
1819,278.9578403408431,1
1820,279.0090303906368,1
1821,279.0643701984683,1
1822,279.1224947838965,1
1823,279.1824988608042,1
1824,279.24377024165466,1
1825,279.3059111875362,1
1826,279.36921889855114,1
1827,279.4339527500017,1
1828,279.5001685517153,1
1829,279.56770859460664,1
1830,279.636159519734,1
1831,279.70673474167694,1
1832,279.77687745976766,1
1833,279.84310049879963,1
1834,279.90880577095913,1
1835,279.9778667358716,1
1836,280.049092491146,1
1837,280.12073503266305,1
1838,280.194184637773,1
1839,280.2713043951607,1
1840,280.35239263535476,1
1841,280.43679748892066,1
1842,280.52375907613185,1
1843,280.6127606957597,1
1844,280.70349600639486,1
1845,280.7959306985759,1
1846,280.8906440535476,1
1847,280.9869132983513,1
1848,281.08445633416176,1
1849,281.183458075114,1
1850,281.28404160359406,1
1851,281.38696242982473,1
1852,281.4883409103803,1
1853,281.5981229456396,1
1854,281.716236815483,1
1855,281.8312668121302,1
1856,281.94419967436875,1
1857,282.0566631394826,1
1858,282.1703928822206,1
1859,282.2840109227255,1
1860,282.3993954946115,1
1861,282.5180837614824,1
1862,282.6402532216244,1
1863,282.7497578659346,1
1864,282.8459933110504,1
1865,282.9456155680861,1
1866,283.04901776936646,1
1867,283.15485762263444,1
1868,283.2624177231002,1
1869,283.3707883692839,1
1870,283.4797469474737,1
1871,283.58935719429417,1
1872,283.70413186504624,1
1873,283.84317588091494,1
1874,284.00059545191493,1
1875,284.15377911260913,1
1876,284.3057810424759,1
1877,284.4603942778487,1
1878,284.6156213439031,1
1879,284.77134926193384,1
1880,284.9296016198677,1
1881,285.0950108496569,1
1882,285.2714610426049,1
1883,285.44383695394583,1
1884,285.60812949791136,1
1885,285.7694525976986,1
1886,285.92364016509276,1
1887,286.0784512352626,1
1888,286.2394307632339,1
1889,286.40994843716135,1
