"sector","discount_rate","trial","scghg"
"cromar_mortality","2.0% Ramsey",1,38
"cromar_mortality","2.0% Ramsey",2,223
"energy","1.5% Ramsey",1,7
"energy","1.5% Ramsey",2,22
"total","2.5% Ramsey",1,50
"total","2.5% Ramsey",2,233
"total","1.5% Ramsey",1,116
"total","1.5% Ramsey",2,783
"agriculture","1.5% Ramsey",1,50
"agriculture","1.5% Ramsey",2,328
"agriculture","2.0% Ramsey",1,32
"agriculture","2.0% Ramsey",2,174
"energy","2.0% Ramsey",1,5
"energy","2.0% Ramsey",2,11
"cromar_mortality","1.5% Ramsey",1,56
"cromar_mortality","1.5% Ramsey",2,429
"slr","1.5% Ramsey",1,2
"slr","1.5% Ramsey",2,4
"total","2.0% Ramsey",1,76
"total","2.0% Ramsey",2,410
"cromar_mortality","2.5% Ramsey",1,27
"cromar_mortality","2.5% Ramsey",2,126
"energy","2.5% Ramsey",1,3
"energy","2.5% Ramsey",2,6
"slr","2.5% Ramsey",1,1
"slr","2.5% Ramsey",2,1
"slr","2.0% Ramsey",1,1
"slr","2.0% Ramsey",2,2
"agriculture","2.5% Ramsey",1,19
"agriculture","2.5% Ramsey",2,99
